_id,ind_id,ind_definition,reportyear,race_eth_code,race_eth_name,geotype,geotypevalue,geoname,county_name,county_fips,region_name,region_code,cost_yr,median_income,affordability_ratio,LL95_affordability_ratio,UL95_affordability_ratio,se_food_afford,rse_food_afford,food_afford_decile,CA_RR_Affordability,ave_fam_size,version
1,757,Food affordability for female-headed household with children under 18 years,2006-2010,1,AIAN,CA,06,California,,,California,,7508.2896552,23777,0.3157795,0.2315166,0.4000425,0.0429913,13.6143419,,1.1853472,3.34,2013-04-12 04:33:06.235000
2,757,Food affordability for female-headed household with children under 18 years,2006-2010,2,Asian,CA,06,California,,,California,,7508.2896552,38508,0.19498,0.1830649,0.2068951,0.0060791,3.1178142,,0.7318999,3.34,2013-04-12 04:33:06.235000
3,757,Food affordability for female-headed household with children under 18 years,2006-2010,3,AfricanAm,CA,06,California,,,California,,7508.2896552,26192,0.2866635,0.2796607,0.2936662,0.0035728,1.2463492,,1.0760538,3.34,2013-04-12 04:33:06.235000
4,757,Food affordability for female-headed household with children under 18 years,2006-2010,4,Latino,CA,06,California,,,California,,7508.2896552,22858,0.3284754,0.3226367,0.334314,0.0029789,0.9068809,,1.2330038,3.34,2013-04-12 04:33:06.235000
5,757,Food affordability for female-headed household with children under 18 years,2006-2010,5,NHOPI,CA,06,California,,,California,,7508.2896552,36737,0.2043795,0.1737619,0.2349971,0.0156212,7.6432554,,0.7671829,3.34,2013-04-12 04:33:06.235000
6,757,Food affordability for female-headed household with children under 18 years,2006-2010,6,White,CA,06,California,,,California,,7508.2896552,38641,0.1943089,0.1895696,0.1990482,0.002418,1.2444064,,0.7293807,3.34,2013-04-12 04:33:06.235000
7,757,Food affordability for female-headed household with children under 18 years,2006-2010,7,Multiple,CA,06,California,,,California,,7508.2896552,32866,0.2284516,0.2100075,0.2468957,0.0094103,4.1191486,,0.8575427,3.34,2013-04-12 04:33:06.235000
8,757,Food affordability for female-headed household with children under 18 years,2006-2010,8,Other,CA,06,California,,,California,,7508.2896552,30439,0.2466668,0.1765589,0.3167746,0.0357693,14.5010735,,0.9259174,3.34,2013-04-12 04:33:06.235000
9,757,Food affordability for female-headed household with children under 18 years,2006-2010,9,Total,CA,06,California,,,California,,7508.2896552,28184,0.2664026,0.2628324,0.2699727,0.0018215,0.6837396,,1,3.34,2013-04-12 04:33:06.235000
10,757,Food affordability for female-headed household with children under 18 years,2006-2010,1,AIAN,CO,06001,Alameda,Alameda,06001,Bay Area,01,7242.1230072,16063,0.4508574,0.0878692,0.8138457,0.1851981,41.0768617,,1.6923916,3.21,2013-04-12 04:33:06.235000
11,757,Food affordability for female-headed household with children under 18 years,2006-2010,2,Asian,CO,06001,Alameda,Alameda,06001,Bay Area,01,7242.1230072,42048,0.1722347,0.1213944,0.223075,0.0259389,15.0602236,,0.6465203,3.21,2013-04-12 04:33:06.235000
